"bottleneck_size"	"Log_Likelihood"	"pair"
16	-8.92522632328079	4
17	-9.34760953256063	4
18	-9.77264818773139	4
19	-10.1996670407956	4
20	-10.6281197265975	4
21	-11.0575620733337	4
22	-11.4876317460554	4
23	-11.9180325009681	4
24	-12.3485218543401	4
25	-12.7789013193121	4
26	-13.2090086008817	4
27	-13.6387113030205	4
28	-14.0679018168798	4
29	-14.496493141085	4
30	-14.9244154445156	4
31	-15.3516132255389	4
32	-15.7780429540322	4
33	-16.2036711068592	4
34	-16.6284725259512	4
35	-17.0524290423428	4
36	-17.475528320514	4
37	-17.8977628860088	4
38	-18.319129306092	4
39	-18.7396274986159	4
40	-19.1592601486055	4
41	-19.5780322155632	4
42	-19.995950517343	4
43	-20.4130233787624	4
44	-20.8292603350306	4
45	-21.2446718816472	4
46	-21.6592692637332	4
47	-22.0730642988461	4
48	-22.4860692282394	4
49	-22.8982965922943	4
50	-23.3097591264905	4
51	-23.7204696748282	4
52	-24.1304411180715	4
53	-24.539686314571	4
54	-24.9482180517556	4
55	-25.3560490066628	4
56	-25.7631917141156	4
57	-26.1696585413611	4
58	-26.5754616681548	4
59	-26.980613071429	4
60	-27.3851245138056	4
61	-27.7890075353276	4
62	-28.192273447871	4
63	-28.5949333317841	4
64	-28.9969980343648	4
65	-29.3984781698483	4
66	-29.799384120625	4
67	-30.1997260394529	4
68	-30.5995138524653	4
69	-30.9987572628044	4
70	-31.3974657547404	4
71	-31.7956485981568	4
72	-32.1933148533024	4
73	-32.5904733757289	4
74	-32.9871328213438	4
75	-33.383301651524	4
76	-33.778988138243	4
77	-34.1742003691749	4
78	-34.5689462527444	4
79	-34.9632335230996	4
80	-35.3570697449895	4
81	-35.7504623185296	4
82	-36.1434184838482	4
83	-36.5359453256027	4
84	-36.9280497773637	4
85	-37.3197386258611	4
86	-37.7110185150934	4
87	-38.1018959502992	4
88	-38.4923773017916	4
89	-38.8824688086587	4
90	-39.2721765823327	4
91	-39.6615066100305	4
92	-40.0504647580701	4
93	-40.4390567750662	4
94	-40.8272882950104	4
95	-41.2151648402389	4
96	-41.6026918242929	4
97	-41.9898745546763	4
98	-42.3767182355143	4
99	-42.7632279701179	4
100	-43.1494087634584	4
101	-43.5352655245547	4
102	-43.92080306878	4
103	-44.3060261200889	4
104	-44.6909393131697	4
105	-45.0755471955265	4
106	-45.459854229492	4
107	-45.8438647941764	4
108	-46.2275831873541	4
109	-46.6110136272916	4
110	-46.9941602545194	4
111	-47.3770271335498	4
112	-47.7596182545439	4
113	-48.1419375349299	4
114	-48.5239888209738	4
115	-48.9057758893067	4
116	-49.2873024484079	4
117	-49.6685721400488	4
118	-50.049588540696	4
119	-50.4303551628779	4
120	-50.810875456515	4
121	-51.1911528102152	4
